,Precipitation (mm/d),Evaporation (mm/d),Water table depth (m BGL),VWC (2cm),VWC (5cm),VWC (10cm),VWC (20cm),VWC (50cm),VWC (100cm),Soil temperature (deg C),Air temperature (deg C)
1999-10-1,0,0.47838,6.8591,0.064484,0.055971,0.079554,0.072038,0.067119,0.054783,5.5277,-0.40061
1999-10-2,0,0.40183,6.8591,0.064972,0.056466,0.080114,0.072439,0.067316,0.05487,5.0429,-1.5331
1999-10-3,0,0.47868,6.8591,0.065774,0.057277,0.081077,0.072972,0.06755,0.054948,4.4531,0.62738
1999-10-4,1,0.42142,6.8591,0.065394,0.056825,0.080986,0.073338,0.067705,0.05512,4.687,0.30272
1999-10-5,1,0.57509,6.8591,0.065446,0.056626,0.080907,0.073584,0.067952,0.055167,4.709,-0.066396
1999-10-6,0,0.22075,6.8591,0.066126,0.057142,0.081463,0.073853,0.068134,0.05523,4.1534,0.095735
1999-10-7,1,0.47429,6.8591,0.065878,0.05676,0.08151,0.074119,0.068245,0.055259,4.4302,3.1875
1999-10-8,0,1.0412,6.8591,0.064435,0.055067,0.080479,0.074195,0.068365,0.055302,5.3948,6.9028
1999-10-9,0,1.092,6.8591,0.064231,0.054699,0.080065,0.074071,0.068352,0.055263,5.1983,6.6642
1999-10-10,0,0.84631,6.8591,0.064443,0.054887,0.080271,0.074083,0.068363,0.055081,4.7904,5.2694
1999-10-11,0,0.55384,6.8591,0.064654,0.054989,0.080601,0.074183,0.068302,0.054899,4.5401,4.6413
1999-10-12,0,0.68816,6.8591,0.06438,0.054566,0.080405,0.074288,0.068416,0.054883,4.6565,3.8103
1999-10-13,1,0.44208,6.8591,0.065406,0.055599,0.081185,0.074499,0.068388,0.054802,3.7682,1.1807
1999-10-14,0,1.0121,6.8591,0.064855,0.054803,0.080959,0.074669,0.068448,0.0548,4.3429,5.1432
1999-10-15,0,0.3929,6.8591,0.064984,0.054769,0.080819,0.074703,0.068584,0.054814,4.148,2.2712
1999-10-16,0,0.53057,6.8591,0.065038,0.054788,0.08084,0.0748,0.068585,0.054769,4.1461,1.1649
1999-10-17,1,0.67954,6.8591,0.065128,0.054689,0.080908,0.074918,0.068598,0.054749,4.1286,3.3492
1999-10-18,0,0.33402,6.8591,0.065246,0.054651,0.080679,0.074933,0.068631,0.054699,3.9485,-0.49881
1999-10-19,0,0.36353,6.8591,0.066155,0.055631,0.081511,0.075103,0.068654,0.054619,3.321,1.3617
1999-10-20,0,0.51252,6.8591,0.064597,0.053844,0.080658,0.075212,0.068751,0.0547,4.7267,11.033
1999-10-21,0,0.38487,6.8591,0.063862,0.052902,0.079318,0.074897,0.068766,0.054662,5.0161,4.7115
1999-10-22,0,0.27343,6.8591,0.066008,0.055327,0.080798,0.07486,0.068618,0.054467,3.1778,-1.1308
1999-10-23,0,0.44673,6.8591,0.066207,0.055365,0.081621,0.075316,0.068716,0.05448,3.3123,6.7558
1999-10-24,0,0.40874,6.8591,0.06576,0.05471,0.081117,0.075398,0.068781,0.054486,3.592,6.704
1999-10-25,0,0.4066,6.8591,0.065435,0.054287,0.080758,0.075368,0.068837,0.054521,3.7778,6.4195
1999-10-26,0,0.22234,6.8591,0.066383,0.055247,0.081419,0.075485,0.0689,0.054531,2.9762,2.9995
1999-10-27,0,0.31688,6.8591,0.066809,0.055644,0.081824,0.075688,0.068934,0.054503,2.6282,2.9184
1999-10-28,5.0071,0.29801,6.8591,0.067454,0.056337,0.082563,0.075985,0.069067,0.054665,2.1426,0.89105
1999-10-29,1.0014,0.42479,6.8591,0.067757,0.056697,0.082182,0.076149,0.069203,0.054836,2.6604,0.68214
1999-10-30,0,0.86623,6.8591,0.076021,0.058271,0.082085,0.076167,0.069334,0.054901,2.7384,4.3975
1999-10-31,10,0.34393,6.8591,0.093707,0.059144,0.082238,0.076283,0.0694,0.054937,2.3583,1.2401
1999-11-1,0,1.4174,6.8591,0.10211,0.060256,0.082519,0.076438,0.06947,0.055048,2.3104,-1.3185
1999-11-2,2,0.89202,6.8591,0.09639,0.060808,0.082703,0.076566,0.069598,0.055085,2.0977,-1.7352
1999-11-3,1,0.69563,6.8591,0.094038,0.061314,0.083085,0.076706,0.069685,0.055133,1.8266,0.35636
1999-11-4,0,0.57815,6.8591,0.092848,0.061442,0.08327,0.07695,0.069817,0.055269,1.812,-1.0603
1999-11-5,0,0.21535,6.8591,0.092872,0.062242,0.083671,0.077054,0.069955,0.055403,1.2993,-2.9086
1999-11-6,0,0.20053,6.8591,0.093741,0.063171,0.084392,0.07732,0.070133,0.055566,0.77738,-2.7533
1999-11-7,0,0.1631,6.8591,0.093976,0.063347,0.084646,0.077569,0.070287,0.055651,0.79028,1.1359
1999-11-8,0,0.14902,6.8591,0.093568,0.063233,0.084485,0.077769,0.070469,0.055853,0.93429,1.5104
1999-11-9,0,0.023164,6.8591,0.093296,0.063185,0.084344,0.077898,0.070666,0.056054,1.1177,-1.6801
1999-11-10,0,0.094448,6.8591,0.093588,0.063488,0.084354,0.077954,0.070754,0.056165,0.93972,-2.2136
