 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   4.11.2021    Time:  22: 5:27
 Units: L = m    , T = days , M = mmol 



                               Node(  1)                      Node(  2)                      Node(  6)                      Node(  7)                      Node( 11)                      Node( 12)

         time            h        theta    Temp           h        theta    Temp           h        theta    Temp           h        theta    Temp           h        theta    Temp           h        theta    Temp  
          1.0000       -3.78  0.2685   20.000         -3.70  0.2705   20.000         -3.61  0.2731   20.000         -3.60  0.2733   20.000         -3.59  0.2736   20.000         -3.59  0.2736   20.000
          2.0000       -3.85  0.2654   20.000         -3.77  0.2680   20.000         -3.63  0.2724   20.000         -3.62  0.2728   20.000         -3.60  0.2734   20.000         -3.59  0.2735   20.000
          3.0000       -3.93  0.2638   20.000         -3.84  0.2660   20.000         -3.66  0.2715   20.000         -3.64  0.2721   20.000         -3.60  0.2732   20.000         -3.60  0.2733   20.000
          4.0000       -3.78  0.2671   20.000         -3.78  0.2675   20.000         -3.68  0.2709   20.000         -3.66  0.2715   20.000         -3.61  0.2729   20.000         -3.61  0.2731   20.000
          5.0000       -3.76  0.2689   20.000         -3.76  0.2686   20.000         -3.69  0.2705   20.000         -3.67  0.2711   20.000         -3.62  0.2726   20.000         -3.61  0.2729   20.000
          6.0000       -3.91  0.2646   20.000         -3.84  0.2662   20.000         -3.71  0.2700   20.000         -3.69  0.2706   20.000         -3.63  0.2723   20.000         -3.62  0.2726   20.000
          7.0000       -3.77  0.2670   20.000         -3.78  0.2673   20.000         -3.72  0.2697   20.000         -3.70  0.2703   20.000         -3.64  0.2720   20.000         -3.63  0.2723   20.000
          8.0000       -3.96  0.2637   20.000         -3.88  0.2652   20.000         -3.73  0.2692   20.000         -3.71  0.2698   20.000         -3.65  0.2717   20.000         -3.64  0.2720   20.000
          9.0000       -4.02  0.2615   20.000         -3.93  0.2636   20.000         -3.76  0.2685   20.000         -3.73  0.2693   20.000         -3.66  0.2713   20.000         -3.65  0.2717   20.000
         10.0000       -4.09  0.2601   20.000         -3.99  0.2622   20.000         -3.78  0.2677   20.000         -3.75  0.2686   20.000         -3.68  0.2709   20.000         -3.67  0.2713   20.000
         11.0000       -4.13  0.2590   20.000         -4.04  0.2611   20.000         -3.81  0.2668   20.000         -3.78  0.2678   20.000         -3.69  0.2705   20.000         -3.68  0.2709   20.000
         12.0000       -4.18  0.2580   20.000         -4.09  0.2601   20.000         -3.84  0.2659   20.000         -3.80  0.2670   20.000         -3.71  0.2700   20.000         -3.69  0.2705   20.000
         13.0000       -3.98  0.2625   20.000         -3.99  0.2623   20.000         -3.86  0.2654   20.000         -3.82  0.2665   20.000         -3.72  0.2695   20.000         -3.71  0.2700   20.000
         14.0000       -4.13  0.2591   20.000         -4.05  0.2608   20.000         -3.87  0.2650   20.000         -3.84  0.2659   20.000         -3.74  0.2690   20.000         -3.72  0.2695   20.000
         15.0000       -4.20  0.2574   20.000         -4.11  0.2595   20.000         -3.90  0.2645   20.000         -3.86  0.2654   20.000         -3.75  0.2685   20.000         -3.74  0.2691   20.000
         16.0000       -4.25  0.2563   20.000         -4.16  0.2584   20.000         -3.92  0.2640   20.000         -3.88  0.2649   20.000         -3.77  0.2680   20.000         -3.75  0.2686   20.000
         17.0000       -4.05  0.2609   20.000         -4.06  0.2606   20.000         -3.93  0.2637   20.000         -3.90  0.2645   20.000         -3.79  0.2675   20.000         -3.77  0.2681   20.000
         18.0000       -4.20  0.2575   20.000         -4.12  0.2592   20.000         -3.95  0.2634   20.000         -3.91  0.2642   20.000         -3.80  0.2671   20.000         -3.78  0.2676   20.000
         19.0000       -4.26  0.2558   20.000         -4.18  0.2580   20.000         -3.97  0.2629   20.000         -3.93  0.2638   20.000         -3.82  0.2666   20.000         -3.80  0.2672   20.000
         20.0000       -4.31  0.2548   20.000         -4.22  0.2569   20.000         -3.99  0.2624   20.000         -3.95  0.2633   20.000         -3.83  0.2661   20.000         -3.81  0.2667   20.000
         21.0000       -4.35  0.2539   20.000         -4.26  0.2560   20.000         -4.01  0.2618   20.000         -3.97  0.2628   20.000         -3.85  0.2656   20.000         -3.83  0.2662   20.000
         22.0000       -4.39  0.2531   20.000         -4.30  0.2552   20.000         -4.04  0.2612   20.000         -3.99  0.2623   20.000         -3.87  0.2652   20.000         -3.85  0.2657   20.000
         23.0000       -4.42  0.2523   20.000         -4.33  0.2545   20.000         -4.06  0.2607   20.000         -4.02  0.2617   20.000         -3.88  0.2648   20.000         -3.86  0.2653   20.000
         24.0000       -4.45  0.2516   20.000         -4.36  0.2538   20.000         -4.09  0.2601   20.000         -4.04  0.2612   20.000         -3.90  0.2644   20.000         -3.88  0.2649   20.000
         25.0000       -4.48  0.2510   20.000         -4.39  0.2531   20.000         -4.11  0.2595   20.000         -4.06  0.2607   20.000         -3.92  0.2639   20.000         -3.90  0.2645   20.000
         26.0000       -4.51  0.2503   20.000         -4.41  0.2525   20.000         -4.13  0.2590   20.000         -4.08  0.2601   20.000         -3.94  0.2635   20.000         -3.92  0.2640   20.000
         27.0000       -4.53  0.2497   20.000         -4.44  0.2519   20.000         -4.16  0.2584   20.000         -4.11  0.2596   20.000         -3.96  0.2630   20.000         -3.94  0.2636   20.000
         28.0000       -3.53  0.2755   20.000         -3.80  0.2671   20.000         -4.11  0.2596   20.000         -4.09  0.2600   20.000         -3.97  0.2627   20.000         -3.95  0.2632   20.000
         29.0000       -3.77  0.2682   20.000         -3.83  0.2664   20.000         -4.05  0.2609   20.000         -4.05  0.2609   20.000         -3.98  0.2625   20.000         -3.96  0.2629   20.000
         30.0000       -4.03  0.2615   20.000         -3.97  0.2627   20.000         -4.02  0.2616   20.000         -4.03  0.2615   20.000         -3.99  0.2624   20.000         -3.97  0.2627   20.000
         31.0000       -2.81  0.2995   20.000         -3.10  0.2886   20.000         -3.83  0.2662   20.000         -3.90  0.2643   20.000         -3.97  0.2627   20.000         -3.97  0.2628   20.000
         32.0000       -3.42  0.2787   20.000         -3.40  0.2794   20.000         -3.73  0.2694   20.000         -3.80  0.2670   20.000         -3.95  0.2633   20.000         -3.95  0.2632   20.000
         32.5000       -3.38  0.2802   20.000         -3.42  0.2790   20.000         -3.69  0.2705   20.000         -3.76  0.2682   20.000         -3.93  0.2637   20.000         -3.94  0.2634   20.000
