 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   4.11.2021    Time:  22: 5:27
 Units: L = m    , T = days , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

    1      0.00     0.131     0.396       0.0   0.496E-01     1.000     0.000     1.000     1.000     1.000
    2      0.10     0.131     0.396       0.0   0.496E-01     1.000     0.000     1.000     1.000     1.000
    3      0.20     0.131     0.396       0.0   0.496E-01     1.000     0.000     1.000     1.000     1.000
    4      0.30     0.131     0.396       0.0   0.496E-01     1.000     0.000     1.000     1.000     1.000
    5      0.40     0.131     0.396       0.0   0.496E-01     1.000     0.000     1.000     1.000     1.000
    6      0.50     0.131     0.396       0.0   0.496E-01     1.000     0.000     1.000     1.000     1.000
    7      0.60     0.131     0.396       0.0   0.496E-01     1.000     0.000     1.000     1.000     1.000
    8      0.70     0.131     0.396       0.0   0.496E-01     1.000     0.000     1.000     1.000     1.000
    9      0.80     0.131     0.396       0.0   0.496E-01     1.000     0.000     1.000     1.000     1.000
   10      0.90     0.131     0.396       0.0   0.496E-01     1.000     0.000     1.000     1.000     1.000
   11      1.00     0.131     0.396       0.0   0.496E-01     1.000     0.000     1.000     1.000     1.000
   12      1.10     0.131     0.396       0.0   0.496E-01     1.000     0.000     1.000     1.000     1.000
   13      1.20     0.131     0.396       0.0   0.496E-01     1.000     0.000     1.000     1.000     1.000
   14      1.30     0.131     0.396       0.0   0.496E-01     1.000     0.000     1.000     1.000     1.000
   15      1.40     0.131     0.396       0.0   0.496E-01     1.000     0.000     1.000     1.000     1.000
   16      1.50     0.131     0.396       0.0   0.496E-01     1.000     0.000     1.000     1.000     1.000
end
