 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   4.11.2021    Time:  22: 5:27
 Units: L = m    , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

        1  0.1000000E+01  0.10000E+01    2        2     0    -5     T
        2  0.2000000E+01  0.10000E+01    2        4     0    -5     T
        3  0.3000000E+01  0.10000E+01    2        6     0    -5     T
        4  0.4000000E+01  0.10000E+01    2        8     0    -5     T
        5  0.5000000E+01  0.10000E+01    2       10     0    -5     T
        6  0.6000000E+01  0.10000E+01    2       12     0    -5     T
        7  0.7000000E+01  0.10000E+01    2       14     0    -5     T
        8  0.8000000E+01  0.10000E+01    2       16     0    -5     T
        9  0.9000000E+01  0.10000E+01    2       18     0    -5     T
       10  0.1000000E+02  0.10000E+01    2       20     0    -5     T
       11  0.1100000E+02  0.10000E+01    2       22     0    -5     T
       12  0.1200000E+02  0.10000E+01    2       24     0    -5     T
       13  0.1300000E+02  0.10000E+01    4       28     0    -5     T
       14  0.1400000E+02  0.10000E+01    4       32     0    -5     T
       15  0.1500000E+02  0.10000E+01    2       34     0    -5     T
       16  0.1600000E+02  0.10000E+01    2       36     0    -5     T
       17  0.1700000E+02  0.10000E+01    4       40     0    -5     T
       18  0.1800000E+02  0.10000E+01    4       44     0    -5     T
       19  0.1900000E+02  0.10000E+01    2       46     0    -5     T
       20  0.2000000E+02  0.10000E+01    2       48     0    -5     T
       21  0.2100000E+02  0.10000E+01    2       50     0    -5     T
       22  0.2200000E+02  0.10000E+01    2       52     0    -5     T
       23  0.2300000E+02  0.10000E+01    2       54     0    -5     T
       24  0.2400000E+02  0.10000E+01    2       56     0    -5     T
       25  0.2500000E+02  0.10000E+01    2       58     0    -5     T
       26  0.2600000E+02  0.10000E+01    2       60     0    -5     T
       27  0.2700000E+02  0.10000E+01    2       62     0    -5     T
       28  0.2800000E+02  0.10000E+01    5       67     0    -5     T
       29  0.2900000E+02  0.10000E+01    5       72     0    -5     T
       30  0.3000000E+02  0.10000E+01    3       75     0    -5     T
       31  0.3100000E+02  0.10000E+01    7       82     0    -5     T
       32  0.3200000E+02  0.10000E+01    6       88     0    -5     T
