 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   4.11.2021    Time:  22: 5:27
 Units: L = m    , T = days , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       1.0000  0.00000E+00  0.00000E+00 -0.17753E-08  0.00000E+00 -0.10905E-02  0.00000E+00  0.00000E+00 -0.17753E-08  0.00000E+00 -0.10905E-02 -0.37751E+01  0.00000E+00 -0.35903E+01  0.00000E+00  0.00000E+00  0.40933E+00  0.00000E+00  0.00000E+00      1  0.00000E+00      0.000
       2.0000  0.00000E+00  0.00000E+00  0.18917E-09  0.00000E+00 -0.10892E-02  0.00000E+00  0.00000E+00 -0.15862E-08  0.00000E+00 -0.21796E-02 -0.38492E+01  0.00000E+00 -0.35914E+01  0.00000E+00  0.00000E+00  0.40824E+00  0.00000E+00  0.18917E-09      2  0.00000E+00      0.000
       3.0000  0.00000E+00  0.00000E+00 -0.11350E-08  0.00000E+00 -0.10863E-02  0.00000E+00  0.00000E+00 -0.27212E-08  0.00000E+00 -0.32659E-02 -0.39286E+01  0.00000E+00 -0.35937E+01  0.00000E+00  0.00000E+00  0.40715E+00  0.00000E+00  0.18917E-09      3  0.00000E+00      0.000
       4.0000 -0.10000E-02  0.00000E+00 -0.10000E-02  0.00000E+00 -0.10814E-02 -0.10000E-02  0.00000E+00 -0.10000E-02  0.00000E+00 -0.43473E-02 -0.37779E+01  0.00000E+00 -0.35977E+01  0.00000E+00  0.00000E+00  0.40707E+00  0.00000E+00  0.18917E-09      4  0.00000E+00      0.000
       5.0000 -0.10000E-02  0.00000E+00 -0.10000E-02  0.00000E+00 -0.10748E-02 -0.20000E-02  0.00000E+00 -0.20000E-02  0.00000E+00 -0.54222E-02 -0.37571E+01  0.00000E+00 -0.36030E+01  0.00000E+00  0.00000E+00  0.40699E+00  0.00000E+00  0.18917E-09      5  0.00000E+00      0.000
       6.0000  0.00000E+00  0.00000E+00  0.94587E-09  0.00000E+00 -0.10669E-02 -0.20000E-02  0.00000E+00 -0.20000E-02  0.00000E+00 -0.64890E-02 -0.39119E+01  0.00000E+00 -0.36095E+01  0.00000E+00  0.00000E+00  0.40593E+00  0.00000E+00  0.11350E-08      6  0.00000E+00      0.000
       7.0000 -0.10000E-02  0.00000E+00 -0.10000E-02  0.00000E+00 -0.10577E-02 -0.30000E-02  0.00000E+00 -0.30000E-02  0.00000E+00 -0.75468E-02 -0.37749E+01  0.00000E+00 -0.36170E+01  0.00000E+00  0.00000E+00  0.40587E+00  0.00000E+00  0.11350E-08      7  0.00000E+00      0.000
       8.0000  0.00000E+00  0.00000E+00 -0.77125E-09  0.00000E+00 -0.10478E-02 -0.30000E-02  0.00000E+00 -0.30000E-02  0.00000E+00 -0.85946E-02 -0.39603E+01  0.00000E+00 -0.36253E+01  0.00000E+00  0.00000E+00  0.40482E+00  0.00000E+00  0.11350E-08      8  0.00000E+00      0.000
